@relation matoll
@attribute 'normalizedFrequency' numeric
@attribute 'averageLenght' numeric
@attribute 'overallRatioLabel' numeric
@attribute 'numberPattern' numeric
@attribute 'overallRatioEntries' numeric
@attribute 'SPARQLPattern_EN_7' {0,1}
@attribute 'SPARQLPattern_EN_8' {0,1}
@attribute 'SPARQLPattern_EN_1' {0,1}
@attribute 'SPARQLPattern_EN_2' {0,1}
@attribute 'SPARQLPattern_EN_3' {0,1}
@attribute 'SPARQLPattern_EN_4' {0,1}
@attribute 'SPARQLPattern_EN_5' {0,1}
@attribute 'pos_adjective' {0,1}
@attribute 'pos_commonNoun' {0,1}
@attribute 'pos_verb' {0,1}
@attribute 'class' {0,1}
@data
7,34.0,0.09859154929577464,1,0.006692160611854685,0,0,0,0,0,0,1,1,0,0,1
1,127.0,1.0,1,7.880220646178094E-4,0,1,0,0,0,0,0,1,0,0,1
1,102.0,0.16666666666666666,1,0.3333333333333333,0,0,0,1,0,0,0,0,1,0,1
1,105.0,0.5,1,0.0014947683109118087,0,0,0,0,0,0,1,1,0,0,1
2,33.0,0.3333333333333333,1,0.10526315789473684,0,0,0,0,0,0,1,1,0,0,1
1,114.0,1.0,1,0.0014947683109118087,0,0,0,0,0,0,1,1,0,0,1
2,122.0,0.5,1,0.2,0,0,0,0,0,0,1,1,0,0,1
1,115.0,1.0,1,0.004545454545454545,0,0,1,0,0,0,0,0,0,1,1
10,50.0,0.5555555555555556,1,0.02159827213822894,0,0,1,0,0,0,0,0,0,1,1
2,87.0,0.013605442176870748,1,0.08333333333333333,0,0,0,0,0,0,1,1,0,0,1
6,44.0,0.04081632653061224,1,0.4,0,0,0,0,0,0,1,1,0,0,1
4,32.0,0.027210884353741496,1,0.4,0,0,0,0,0,0,1,1,0,0,1
6,44.0,0.04081632653061224,1,0.4,0,0,0,0,0,0,1,1,0,0,1
1,109.0,1.0,1,0.0021598272138228943,0,0,1,0,0,0,0,0,0,1,1
1,110.0,1.0,1,0.0038022813688212928,0,0,0,0,1,0,0,0,1,0,1
2,86.0,0.4,1,0.08,0,0,0,0,0,0,1,1,0,0,1
13,36.0,0.2,1,0.02411873840445269,0,0,0,0,0,0,1,1,0,0,1
